No,Nama,Lat,Long,X,Y
1,Gumuk Pasir,8.01743,110.31765,424807,9113713
2,Pantai Parangtritis,8.02736,110.33706,426948,9112618
3,Pantai Depok,8.01417,110.29302,422092,9114069
4,Pantai Parangkusumo,8.02282,110.3236,425464,9113118
5,Puncak Sosok,7.87166,110.42632,436760,9129847
6,Hutan Pinus Sari,7.92597,110.43085,437268,9123844
7,Kotagede,7.82829,110.3998,433830,9134638
8,Stadion Sultan Agung,7.87526,110.38029,431687,9129442
9,Bukit Lintang Sewu,7.91484,110.43558,437788,9125075
10,Gua Selarong,7.86183,110.31465,424448,9130915
